Loaded summary from lodopab_out/summary.json
IMG_SIZE=362, NUM_ANGLES=1000, DET_COUNT=513, PHI=[-1.0471975511965976, 1.0471975511965976]
BETA (mean y_diff_norms) = 8.358424e-01
[init=lw | dpnsn] epoch 013/50 | train=0.000619 | val=0.000614
[init=lw | dpnsn] epoch 014/50 | train=0.000594 | val=0.000567
[init=lw | dpnsn] epoch 015/50 | train=0.000575 | val=0.000574
[init=lw | dpnsn] epoch 016/50 | train=0.000547 | val=0.000586
[init=lw | dpnsn] epoch 017/50 | train=0.000543 | val=0.000544
[init=lw | dpnsn] epoch 018/50 | train=0.000532 | val=0.000532
[init=lw | dpnsn] epoch 019/50 | train=0.000535 | val=0.000525
[init=lw | dpnsn] epoch 020/50 | train=0.000508 | val=0.000519
[init=lw | dpnsn] epoch 021/50 | train=0.000499 | val=0.000515
[init=lw | dpnsn] epoch 022/50 | train=0.000502 | val=0.000578
[init=lw | dpnsn] epoch 023/50 | train=0.000529 | val=0.000512
[init=lw | dpnsn] epoch 024/50 | train=0.000485 | val=0.000504
[init=lw | dpnsn] epoch 025/50 | train=0.000477 | val=0.000506
[init=lw | dpnsn] epoch 026/50 | train=0.000479 | val=0.000504
[init=lw | dpnsn] epoch 027/50 | train=0.000467 | val=0.000495
[init=lw | dpnsn] epoch 028/50 | train=0.000483 | val=0.000491
[init=lw | dpnsn] epoch 029/50 | train=0.000465 | val=0.000491
[init=lw | dpnsn] epoch 030/50 | train=0.000455 | val=0.000493
[init=lw | dpnsn] epoch 031/50 | train=0.000452 | val=0.000486
[init=lw | dpnsn] epoch 032/50 | train=0.000467 | val=0.000482
[init=lw | dpnsn] epoch 033/50 | train=0.000446 | val=0.000481
[init=lw | dpnsn] epoch 034/50 | train=0.000449 | val=0.000501
[init=lw | dpnsn] epoch 035/50 | train=0.000440 | val=0.000478
[init=lw | dpnsn] epoch 036/50 | train=0.000452 | val=0.000480
[init=lw | dpnsn] epoch 037/50 | train=0.000429 | val=0.000476
[init=lw | dpnsn] epoch 038/50 | train=0.000434 | val=0.000473
[init=lw | dpnsn] epoch 039/50 | train=0.000426 | val=0.000476
[init=lw | dpnsn] epoch 040/50 | train=0.000436 | val=0.000478
[init=lw | dpnsn] epoch 041/50 | train=0.000425 | val=0.000471
[init=lw | dpnsn] epoch 042/50 | train=0.000478 | val=0.000483
[init=lw | dpnsn] epoch 043/50 | train=0.000439 | val=0.000477
[init=lw | dpnsn] epoch 044/50 | train=0.000418 | val=0.000476
[init=lw | dpnsn] epoch 045/50 | train=0.000446 | val=0.000480
[init=lw | dpnsn] epoch 046/50 | train=0.000416 | val=0.000469
[init=lw | dpnsn] epoch 047/50 | train=0.000410 | val=0.000482
[init=lw | dpnsn] epoch 048/50 | train=0.000413 | val=0.000467
[init=lw | dpnsn] epoch 049/50 | train=0.000407 | val=0.000468
[init=lw | dpnsn] epoch 050/50 | train=0.000419 | val=0.000466
[init=lw | dpnsn] best val=0.000466 saved to runs_lodopab/init_lw/checkpoints/dpnsn_best.pt
[init=lw | dpnsn] example saved to runs_lodopab/init_lw/examples/dpnsn_example.png
[init=lw | dpnsn_res] epoch 001/50 | train=0.004605 | val=0.002018
[init=lw | dpnsn_res] epoch 002/50 | train=0.001383 | val=0.001006
[init=lw | dpnsn_res] epoch 003/50 | train=0.000869 | val=0.000733
[init=lw | dpnsn_res] epoch 004/50 | train=0.000676 | val=0.000651
[init=lw | dpnsn_res] epoch 005/50 | train=0.000572 | val=0.000524
[init=lw | dpnsn_res] epoch 006/50 | train=0.000514 | val=0.000487
[init=lw | dpnsn_res] epoch 007/50 | train=0.000469 | val=0.000458
[init=lw | dpnsn_res] epoch 008/50 | train=0.000448 | val=0.000513
[init=lw | dpnsn_res] epoch 009/50 | train=0.000421 | val=0.000427
[init=lw | dpnsn_res] epoch 010/50 | train=0.000401 | val=0.000415
[init=lw | dpnsn_res] epoch 011/50 | train=0.000386 | val=0.000400
